"mes","temperatura","pluviometrico","evaPotencial","armazenHidrico","cidade"
"Jan",25.6,62,134,13,"Alagoinhas"
"Fev",24.6,74,109,9,"Alagoinhas"
"Mar",25.7,118,133,8,"Alagoinhas"
"Abr",24.9,152,112,47,"Alagoinhas"
"Mai",23.6,175,95,100,"Alagoinhas"
"Jun",22.7,143,80,100,"Alagoinhas"
"Jul",21,117,65,100,"Alagoinhas"
"Ago",21.7,82,73,100,"Alagoinhas"
"Set",22.6,60,83,80,"Alagoinhas"
"Out",24.2,63,109,50,"Alagoinhas"
"Nov",24.8,87,118,37,"Alagoinhas"
"Dez",25.4,100,135,26,"Alagoinhas"
"Jan",26.1,12,136,0,"Barra"
"Fev",27.2,40,144,0,"Barra"
"Mar",27,82,152,0,"Barra"
"Abr",26.4,141,133,8,"Barra"
"Mai",25.9,106,126,7,"Barra"
"Jun",26.4,98,127,5,"Barra"
"Jul",25.5,106,117,4,"Barra"
"Ago",25.2,64,113,3,"Barra"
"Set",24.4,7,101,1,"Barra"
"Out",23.3,3,91,0,"Barra"
"Nov",23.6,1,95,0,"Barra"
"Dez",24.6,1,114,0,"Barra"
"Jan",24.7,178,117,100,"Barreiras"
"Fev",24.7,146,107,100,"Barreiras"
"Mar",24.6,157,115,100,"Barreiras"
"Abr",24.3,95,104,92,"Barreiras"
"Mai",23.4,22,93,45,"Barreiras"
"Jun",22.4,12,77,23,"Barreiras"
"Jul",22.2,2,77,11,"Barreiras"
"Ago",23.6,5,95,5,"Barreiras"
"Set",25.9,20,125,2,"Barreiras"
"Out",25.9,103,133,1,"Barreiras"
"Nov",25.3,176,123,54,"Barreiras"
"Dez",24.7,205,120,100,"Barreiras"
"Jan",25.8,80,134,58,"Bom Jesus da Lapa"
"Fev",25.9,102,124,47,"Bom Jesus da Lapa"
"Mar",25,176,120,100,"Bom Jesus da Lapa"
"Abr",25.3,266,117,100,"Bom Jesus da Lapa"
"Mai",24.4,286,105,100,"Bom Jesus da Lapa"
"Jun",23.2,237,85,100,"Bom Jesus da Lapa"
"Jul",22.5,194,79,100,"Bom Jesus da Lapa"
"Ago",22.4,131,80,100,"Bom Jesus da Lapa"
"Set",23.4,99,91,100,"Bom Jesus da Lapa"
"Out",24.6,99,113,87,"Bom Jesus da Lapa"
"Nov",25.3,166,123,100,"Bom Jesus da Lapa"
"Dez",25.8,140,138,100,"Bom Jesus da Lapa"
"Jan",22,156,93,100,"Caitité"
"Fev",22.1,88,87,100,"Caitité"
"Mar",22.6,97,99,98,"Caitité"
"Abr",21.6,67,83,84,"Caitité"
"Mai",20.7,17,75,47,"Caitité"
"Jun",19.7,15,63,29,"Caitité"
"Jul",19.3,10,62,17,"Caitité"
"Ago",20.1,6,69,9,"Caitité"
"Set",21.1,12,77,5,"Caitité"
"Out",22.3,77,94,4,"Caitité"
"Nov",22.2,165,93,76,"Caitité"
"Dez",22.2,180,98,100,"Caitité"
"Jan",25.8,80,133,59,"Camaçari"
"Fev",25.9,102,124,47,"Camaçari"
"Mar",25,176,120,100,"Camaçari"
"Abr",25.3,266,117,100,"Camaçari"
"Mai",24.4,286,105,100,"Camaçari"
"Jun",23.2,237,85,100,"Camaçari"
"Jul",22.5,194,80,100,"Camaçari"
"Ago",22.4,131,80,100,"Camaçari"
"Set",23.4,99,91,100,"Camaçari"
"Out",24.6,99,113,87,"Camaçari"
"Nov",25.3,166,123,100,"Camaçari"
"Dez",25.8,140,137,100,"Camaçari"
"Jan",25.9,173,137,100,"Canavieiras"
"Fev",25.9,150,126,100,"Canavieiras"
"Mar",25.7,145,132,100,"Canavieiras"
"Abr",24.9,193,112,100,"Canavieiras"
"Mai",22.1,147,78,100,"Canavieiras"
"Jun",22.3,149,76,100,"Canavieiras"
"Jul",21.9,177,74,100,"Canavieiras"
"Ago",22.1,105,77,100,"Canavieiras"
"Set",23.2,127,89,100,"Canavieiras"
"Out",24.1,167,108,100,"Canavieiras"
"Nov",24.8,153,117,100,"Canavieiras"
"Dez",25.6,120,137,85,"Canavieiras"
"Jan",26.2,126,143,84,"Caravelas"
"Fev",26.5,65,136,42,"Caravelas"
"Mar",26.4,112,144,30,"Caravelas"
"Abr",25.5,144,119,55,"Caravelas"
"Mai",24.2,120,101,74,"Caravelas"
"Jun",22.9,97,79,92,"Caravelas"
"Jul",22.2,110,74,100,"Caravelas"
"Ago",22.3,65,77,89,"Caravelas"
"Set",23.1,87,86,90,"Caravelas"
"Out",24.2,148,108,100,"Caravelas"
"Nov",25.1,176,122,100,"Caravelas"
"Dez",25.6,139,137,100,"Caravelas"
"Jan",25.2,162,124,90,"Carinhanha"
"Fev",25.8,118,123,86,"Carinhanha"
"Mar",25.7,88,130,56,"Carinhanha"
"Abr",25.1,51,113,30,"Carinhanha"
"Mai",24.4,5,103,11,"Carinhanha"
"Jun",22.4,2,74,6,"Carinhanha"
"Jul",22.6,2,78,3,"Carinhanha"
"Ago",24.5,2,103,1,"Carinhanha"
"Set",26,13,125,0,"Carinhanha"
"Out",26.4,64,141,0,"Carinhanha"
"Nov",26.1,117,135,0,"Carinhanha"
"Dez",25.8,189,137,52,"Carinhanha"
"Jan",26.9,71,151,3,"Cipó"
"Fev",26.8,70,137,1,"Cipó"
"Mar",26.6,88,145,1,"Cipó"
"Abr",25.7,145,122,23,"Cipó"
"Mai",24.5,168,106,86,"Cipó"
"Jun",23.1,137,83,100,"Cipó"
"Jul",22.5,96,78,100,"Cipó"
"Ago",22.5,72,79,93,"Cipó"
"Set",23,54,84,69,"Cipó"
"Out",25.2,33,121,29,"Cipó"
"Nov",26.2,61,136,14,"Cipó"
"Dez",26.5,73,148,6,"Cipó"
"Jan",23.9,181,108,100,"Correntina"
"Fev",23.9,169,100,100,"Correntina"
"Mar",23.7,132,105,100,"Correntina"
"Abr",23.3,70,94,79,"Correntina"
"Mai",22.6,7,86,36,"Correntina"
"Jun",21.2,3,68,19,"Correntina"
"Jul",21.2,2,70,9,"Correntina"
"Ago",22.8,2,87,4,"Correntina"
"Set",25.2,20,116,2,"Correntina"
"Out",25.1,106,122,1,"Correntina"
"Nov",24.6,164,115,50,"Correntina"
"Dez",24.2,229,116,100,"Correntina"
"Jan",25,174,125,100,"Guaratinga"
"Fev",24.8,143,112,100,"Guaratinga"
"Mar",25.3,97,128,74,"Guaratinga"
"Abr",23.9,96,101,70,"Guaratinga"
"Mai",22.9,85,89,67,"Guaratinga"
"Jun",21.4,63,69,63,"Guaratinga"
"Jul",20.9,73,66,70,"Guaratinga"
"Ago",21.2,55,71,60,"Guaratinga"
"Set",22.7,84,86,59,"Guaratinga"
"Out",23.4,108,101,66,"Guaratinga"
"Nov",23.9,141,107,99,"Guaratinga"
"Dez",24.6,128,123,100,"Guaratinga"
"Jan",25.9,144,136,100,"Ilhéus"
"Fev",26,190,127,100,"Ilhéus"
"Mar",25.9,210,135,100,"Ilhéus"
"Abr",25.1,202,114,100,"Ilhéus"
"Mai",24,180,100,100,"Ilhéus"
"Jun",22.7,179,79,100,"Ilhéus"
"Jul",22.1,188,75,100,"Ilhéus"
"Ago",22.4,136,80,100,"Ilhéus"
"Set",23.4,148,91,100,"Ilhéus"
"Out",24.2,148,108,100,"Ilhéus"
"Nov",24.8,149,116,100,"Ilhéus"
"Dez",25.4,169,132,100,"Ilhéus"
"Jan",23.8,110,107,21,"Irecê"
"Fev",24,91,101,19,"Irecê"
"Mar",23.8,101,107,18,"Irecê"
"Abr",23.3,53,95,12,"Irecê"
"Mai",22.4,12,86,6,"Irecê"
"Jun",21.3,6,71,3,"Irecê"
"Jul",21,3,70,1,"Irecê"
"Ago",21.6,3,77,1,"Irecê"
"Set",23.2,13,93,0,"Irecê"
"Out",24.4,39,113,0,"Irecê"
"Nov",24.4,90,113,0,"Irecê"
"Dez",24.1,132,114,18,"Irecê"
"Jan",26,117,136,0,"Itaberaba"
"Fev",26.1,91,127,0,"Itaberaba"
"Mar",26,90,136,0,"Itaberaba"
"Abr",25.3,68,117,0,"Itaberaba"
"Mai",24.2,43,102,0,"Itaberaba"
"Jun",22.7,46,79,0,"Itaberaba"
"Jul",21.9,33,73,0,"Itaberaba"
"Ago",22.4,24,79,0,"Itaberaba"
"Set",23.4,21,91,0,"Itaberaba"
"Out",25.1,42,120,0,"Itaberaba"
"Nov",25.7,71,129,0,"Itaberaba"
"Dez",25.9,116,139,0,"Itaberaba"
"Jan",24.7,84,119,0,"Ituaçu"
"Fev",24.6,143,108,35,"Ituaçu"
"Mar",24.6,92,117,27,"Ituaçu"
"Abr",24.6,91,110,22,"Ituaçu"
"Mai",23.2,54,93,15,"Ituaçu"
"Jun",22.1,24,76,9,"Ituaçu"
"Jul",21.3,16,71,5,"Ituaçu"
"Ago",21.1,6,70,3,"Ituaçu"
"Set",22.1,9,80,1,"Ituaçu"
"Out",23.7,23,104,1,"Ituaçu"
"Nov",24.4,85,113,0,"Ituaçu"
"Dez",24.9,81,126,0,"Ituaçu"
"Jan",22.3,94,98,55,"Ituruçu"
"Fev",22.3,89,90,55,"Ituruçu"
"Mar",22.2,92,96,53,"Ituruçu"
"Abr",21.5,76,84,49,"Ituruçu"
"Mai",19.9,56,71,42,"Ituruçu"
"Jun",19,62,60,44,"Ituruçu"
"Jul",18.1,63,55,51,"Ituruçu"
"Ago",18.7,41,61,42,"Ituruçu"
"Set",19.5,33,66,30,"Ituruçu"
"Out",20.6,66,80,26,"Ituruçu"
"Nov",21.6,88,89,26,"Ituruçu"
"Dez",22.1,126,99,53,"Ituruçu"
"Jan",25.4,99,127,0,"Jacobina"
"Fev",25.5,82,118,0,"Jacobina"
"Mar",25.6,120,130,0,"Jacobina"
"Abr",24.6,91,109,0,"Jacobina"
"Mai",23.3,48,93,0,"Jacobina"
"Jun",22.1,53,76,0,"Jacobina"
"Jul",21.2,41,69,0,"Jacobina"
"Ago",21.8,40,76,0,"Jacobina"
"Set",23.2,31,90,0,"Jacobina"
